"availability","channel_discovered","duration","kind","search_query","tested_seconds","title","title_discovered","url","video_id","yt_dlp_error","yt_dlp_ok"
"public","Awesome3D","66","kids","family friendly animation","7.96","""Class Clown"" | Blender Animation","""Class Clown"" | Blender Animation","https://www.youtube.com/watch?v=yKXsm7Ko0-w","yKXsm7Ko0-w","","True"
"public","Animal Revolt Tv","640","kids","family friendly animation","9.52","African Elephant Meets Lion, Tiger & Dinosaur | Family-Friendly Animation","African Elephant Meets Lion, Tiger & Dinosaur | Family-Friendly Animation","https://www.youtube.com/watch?v=ko614YMvJfM","ko614YMvJfM","","True"
"public","GULU Animation","151","kids","family friendly animation","9.91","Donut Adventure - Animated Short Film by GULU #doughnut #bread #animation #cartoon","Donut Adventure - Animated Short Film by GULU #doughnut #bread #animation #cartoon","https://www.youtube.com/watch?v=QBCapOmnvjM","QBCapOmnvjM","","True"
"public","LilDaeDreamer ","50","kids","family friendly animation","10.0","""A Nice Walk"" (VERITY Animation)","""A Nice Walk"" (VERITY Animation)","https://www.youtube.com/watch?v=cq-EA1DyFEI","cq-EA1DyFEI","","True"
"public","JOEhuh02","28","kids","family friendly animation","10.23","Sprunki but too kiD frIEndly animation (Original) //tw gore and blood","Sprunki but too kiD frIEndly animation (Original) //tw gore and blood","https://www.youtube.com/watch?v=AXxD6W3TM-I","AXxD6W3TM-I","","True"
"public","Cinema Zone HD","4600","kids","family friendly animation","10.23","The Heroes of Q-Town | Full Movie in English | Adventure Animation, HD","The Heroes of Q-Town | Full Movie in English | Adventure Animation, HD","https://www.youtube.com/watch?v=UAbIuQ2vS4E","UAbIuQ2vS4E","","True"
"public","CGMeetup","100","kids","family friendly animation","10.36","CGI Animated Short Film: ""Don't Croak"" by Daun Kim | CGMeetup","CGI Animated Short Film: ""Don't Croak"" by Daun Kim | CGMeetup","https://www.youtube.com/watch?v=j8PDTJNaPc0","j8PDTJNaPc0","","True"
"public","Boxoffice | FAMILY | Full Movies","4785","kids","family friendly animation","9.0","Ella Bella Dingo | KIDS, ANIMATION | Full Movie in English","Ella Bella Dingo | KIDS, ANIMATION | Full Movie in English","https://www.youtube.com/watch?v=gTJ_59-9iHE","gTJ_59-9iHE","","True"
"public","Boxoffice | FAMILY | Full Movies","5050","kids","family friendly animation","9.79","Rise of the Little Insect | FAMILY, ANIMATION | Full Movie in English💎","Rise of the Little Insect | FAMILY, ANIMATION | Full Movie in English💎","https://www.youtube.com/watch?v=AYS8-NmHcCI","AYS8-NmHcCI","","True"
"public","Mad Artist Publishing CGI & Films","245","kids","family friendly animation","9.58","Cute CGI 3D Animated Short Film ** DUST BUDDIES **- Funny Animation by Ringling College","Cute CGI 3D Animated Short Film ** DUST BUDDIES **- Funny Animation by Ringling College","https://www.youtube.com/watch?v=9OhUJyF1bYo","9OhUJyF1bYo","","True"
"public","BrodyAnimates","538","kids","family friendly animation","9.81","Siblings (ft. Haminations & Infamous Swoosh)","Siblings (ft. Haminations & Infamous Swoosh)","https://www.youtube.com/watch?v=O0hyjRF6quc","O0hyjRF6quc","","True"
"public","Canine Companions®","452","kids","family friendly animation","10.4","Andy: A Dog's Tale | Full Film | Canine Companions #animation #puppy #servicedog","Andy: A Dog's Tale | Full Film | Canine Companions #animation #puppy #servicedog","https://www.youtube.com/watch?v=jXHOHOYkbYc","jXHOHOYkbYc","","True"
"public","Boxoffice | FAMILY | Full Movies","5589","kids","family friendly animation","10.39","Super Dumpling | Animation | Full Movie in English | Family","Super Dumpling | Animation | Full Movie in English | Family","https://www.youtube.com/watch?v=NsD3_njh7D0","NsD3_njh7D0","","True"
"public","Mr. Friend","154","kids","family friendly animation","10.67","The Moon wakes up (cosmic horror/astrophobia animation)","The Moon wakes up (cosmic horror/astrophobia animation)","https://www.youtube.com/watch?v=ZkIQTX71GnU","ZkIQTX71GnU","","True"
"public","Sony Pictures Animation","408","kids","family friendly animation","8.32","Hair Love | Oscar®-Winning Short Film (Full) | Sony Pictures Animation","Hair Love | Oscar®-Winning Short Film (Full) | Sony Pictures Animation","https://www.youtube.com/watch?v=kNw8V_Fkw28","kNw8V_Fkw28","","True"
"public","Hornstromp 3D","1247","kids","family friendly animation","8.84","POOR TRALALERO TRALALA: SAD STORY! Italian Brainrot Animation","POOR TRALALERO TRALALA: SAD STORY! Italian Brainrot Animation","https://www.youtube.com/watch?v=BJJSwpjryfQ","BJJSwpjryfQ","","True"
"public","ToonAnimations","141","kids","family friendly animation","9.33","ROBLOX ANIMAL HOSPITAL🧪 RETOLD | ANIMATION","ROBLOX ANIMAL HOSPITAL🧪 RETOLD | ANIMATION","https://www.youtube.com/watch?v=_NN94nsBQh4","_NN94nsBQh4","","True"
"public","My Cute Toys","3904","kids","toy review kids","8.0","Satisfying with Unboxing Disney Minnie Mouse and Fifi Bathtub Playset, Toys Collection Review | ASMR","Satisfying with Unboxing Disney Minnie Mouse and Fifi Bathtub Playset, Toys Collection Review | ASMR","https://www.youtube.com/watch?v=VUv8glWbb0g","VUv8glWbb0g","","True"
"public","Korya BeeBee","94","kids","family friendly animation","9.94","HE'S MINE (doki doki family friendly literature club) //animation","HE'S MINE (doki doki family friendly literature club) //animation","https://www.youtube.com/watch?v=t9VWa51DGjA","t9VWa51DGjA","","True"
"public","ToyToy Unboxing","3707","kids","toy review kids","9.52","61 Minutes Satisfying with Unboxing Cute Pink Ice Cream, Hello Kitty Smart Refrigerator, Review Toys","61 Minutes Satisfying with Unboxing Cute Pink Ice Cream, Hello Kitty Smart Refrigerator, Review Toys","https://www.youtube.com/watch?v=mf9zGeZTy_U","mf9zGeZTy_U","","True"
"public","ぺんだこあすちゃん","207","kids","family friendly animation","9.81","Kid friendly","Kid friendly","https://www.youtube.com/watch?v=ut5W0Scfw4I","ut5W0Scfw4I","","True"
"public","Tina Unboxing Toys","3642","kids","toy review kids","6.89","60 Minutes Ultimate Cooking Toys Playset, Satisfying Unboxing Flamingo Kitchen Set ASMR |Tina Review","60 Minutes Ultimate Cooking Toys Playset, Satisfying Unboxing Flamingo Kitchen Set ASMR |Tina Review","https://www.youtube.com/watch?v=Judk34NMBM0","Judk34NMBM0","","True"
"public","King Zippy","416","kids","toy review kids","8.77","Billys Toy review CocoMelon lunchbox playset","Billys Toy review CocoMelon lunchbox playset","https://www.youtube.com/watch?v=DICdurbTlyk","DICdurbTlyk","","True"
"public","Turbo Track Toy","5287","kids","toy review kids","8.5","Hot Wheels Collection Unboxing Toy Review ASMR | Hot Wheels City Ultimate T-Rex Transporter Playset","Hot Wheels Collection Unboxing Toy Review ASMR | Hot Wheels City Ultimate T-Rex Transporter Playset","https://www.youtube.com/watch?v=NZqj5H19HFU","NZqj5H19HFU","","True"
"public","Addie Bowley","642","kids","toy review kids","7.95","I Tested 100 Years of Kid's Toys","I Tested 100 Years of Kid's Toys","https://www.youtube.com/watch?v=2tLWwV5hF3Y","2tLWwV5hF3Y","","True"
"public","LOVE MY TOYS ","555","kids","toy review kids","8.68","10 Minutes Satisfying with Unboxing Cook & Kitchen Sink Pool Toy Set Review Toys | ASMR","10 Minutes Satisfying with Unboxing Cook & Kitchen Sink Pool Toy Set Review Toys | ASMR ","https://www.youtube.com/watch?v=at8m7t9_NI0","at8m7t9_NI0","","True"
"public","Love ASMR","5621","kids","toy review kids","8.92","Marvel Spiderman Toys Unboxing Review | Marvel Spidey Dinosaur T-Rex | Spider Man Mask","Marvel Spiderman Toys Unboxing Review | Marvel Spidey Dinosaur T-Rex | Spider Man Mask","https://www.youtube.com/watch?v=yIHct0ihmP0","yIHct0ihmP0","","True"
"public","Mini toys","4480","kids","toy review kids","7.53","Satisfying with Unboxing Disney Little Mermaid Toys Collection | Review Toys | ASMR","Satisfying with Unboxing Disney Little Mermaid Toys Collection | Review Toys | ASMR","https://www.youtube.com/watch?v=_Knoz4ASnMc","_Knoz4ASnMc","","True"
"public","예리몽 Yerimong","797","kids","toy review kids","8.6","Cooking toys 🍳 Cute Lunch Box Playset ASMR | Review toys","Cooking toys 🍳 Cute Lunch Box Playset ASMR | Review toys","https://www.youtube.com/watch?v=r0qhNxz6mIs","r0qhNxz6mIs","","True"
"public","Tiny Toys Car","5526","kids","toy review kids","8.56","Disney Pixar Cars Unboxing Review | Disney Pixar Cars Go Toy Truck Race Track | Lightning McQueen","Disney Pixar Cars Unboxing Review | Disney Pixar Cars Go Toy Truck Race Track | Lightning McQueen","https://www.youtube.com/watch?v=WntWpjjE6DU","WntWpjjE6DU","","True"
"public","gabi toys ASMR","1788","kids","toy review kids","7.24","29 Minutes Satisfying with Unboxing Paw Patrol Toys Collection ASMR | Toy Review","29 Minutes Satisfying with Unboxing Paw Patrol Toys Collection ASMR | Toy Review","https://www.youtube.com/watch?v=CpxCWGb80vw","CpxCWGb80vw","","True"
"public","House Tin","5429","kids","toy review kids","7.64","Satisfying with Unboxing Disney Mickey Mouse Deluxe Clubhouse Playset | Review Toys ASMR","Satisfying with Unboxing Disney Mickey Mouse Deluxe Clubhouse Playset | Review Toys ASMR","https://www.youtube.com/watch?v=-IhPzoUjYVY","-IhPzoUjYVY","","True"
"public","Tina Unboxing Toys","3633","kids","toy review kids","7.15","60 Minutes Ultimate Cooking Toys Playset, Satisfying Unboxing Kitchen Set ASMR | Tina Review","60 Minutes Ultimate Cooking Toys Playset, Satisfying Unboxing Kitchen Set ASMR | Tina Review","https://www.youtube.com/watch?v=CTByqqMNb1c","CTByqqMNb1c","","True"
"public","BuBu Toys ASMR and Funny Unboxing","1930","kids","toy review kids","8.15","30 Minutes Satisfying with Unboxing PEPPA PIG Water Park Adventure Playset ASMR Review Toys🐷💦","30 Minutes Satisfying with Unboxing PEPPA PIG Water Park Adventure Playset ASMR Review Toys🐷💦","https://www.youtube.com/watch?v=LtQ4ASd9eMc","LtQ4ASd9eMc","","True"
"public","ImmerZone Fitness ","231","kids","kids exercise","7.5","4K Immersive Interactive Warm-up | 🐰🦊ZOOTOPIA Dance Workout🕺  | Viral Challenge | Brain Break","4K Immersive Interactive Warm-up | 🐰🦊ZOOTOPIA Dance Workout🕺  | Viral Challenge | Brain Break","https://www.youtube.com/watch?v=uKgYycIyjMM","uKgYycIyjMM","","True"
"public","Tina Unboxing Toys","3704","kids","toy review kids","8.57","60 Minutes Cooking Toys Playset, Satisfying Unboxing Ultimate Kitchen Set ASMR | Tina Review","60 Minutes Cooking Toys Playset, Satisfying Unboxing Ultimate Kitchen Set ASMR | Tina Review","https://www.youtube.com/watch?v=-OXFZpUDOeM","-OXFZpUDOeM","","True"
"public","Rio Tin ASMR ","5734","kids","toy review kids","8.39","Super Mario Bros Unboxing Toys Review | Super Mario Bros Nintendo Deluxe Bowser's Playset | ASMR","Super Mario Bros Unboxing Toys Review | Super Mario Bros Nintendo Deluxe Bowser's Playset | ASMR","https://www.youtube.com/watch?v=Rn0DoQ6BbFc","Rn0DoQ6BbFc","","True"
"public","Itzshauni","1458","kids","toy review kids","8.61","Unboxing 100 *PINK* Mystery toys!!😱🎁 *RARE FINDS*","Unboxing 100 *PINK* Mystery toys!!😱🎁 *RARE FINDS*","https://www.youtube.com/watch?v=vkXeLMkuGoQ","vkXeLMkuGoQ","","True"
"public","ImmerZone Fitness ","232","kids","kids exercise","6.7","4K Immersive Interactive Warm-up | 🤠TOY STORY Dance Workout🕺  | Viral Challenge | Brain Break","4K Immersive Interactive Warm-up | 🤠TOY STORY Dance Workout🕺  | Viral Challenge | Brain Break","https://www.youtube.com/watch?v=oI9AkxBOIBg","oI9AkxBOIBg","","True"
"public","Juice & Toya","1045","kids","kids exercise","7.7","15 Minute Kid-Friendly HIIT Workout [Ages 5 +]","15 Minute Kid-Friendly HIIT Workout [Ages 5 +]","https://www.youtube.com/watch?v=326GR2A7q-s","326GR2A7q-s","","True"
"public","DanceWithDeepti","1686","kids","kids exercise","9.06","DWD#95 | 30mins Active Kids - Dance Workout - @DanceWithDeepti","DWD#95 | 30mins Active Kids - Dance Workout - @DanceWithDeepti","https://www.youtube.com/watch?v=c_ztZ92fLTA","c_ztZ92fLTA","","True"
"public","Michigan Medicine","181","kids","kids exercise","9.24","Exercises that improve your child's coordination","Exercises that improve your child's coordination","https://www.youtube.com/watch?v=hbqKH6fDxd4","hbqKH6fDxd4","","True"
"public","OT Closet","308","kids","kids exercise","8.8","Fun Yoga Adventure | Move, Stretch & Relax Together","Fun Yoga Adventure | Move, Stretch & Relax Together","https://www.youtube.com/watch?v=TgiIL88n2J0","TgiIL88n2J0","","True"
"public","LIVESTRONG","156","kids","kids exercise","10.54","Dumbbell Exercises for Kids : LIVESTRONG: Fitness & Exercise Tips","Dumbbell Exercises for Kids : LIVESTRONG: Fitness & Exercise Tips","https://www.youtube.com/watch?v=cLbiaCpuAy0","cLbiaCpuAy0","","True"
"","Mrs Honey - Learning Videos","481","kids","phonics for children","7.73","Digraphs with Examples | learning Phonics | English lesson | Adult Phonics","Digraphs with Examples | learning Phonics | English lesson | Adult Phonics","https://www.youtube.com/watch?v=rn_ZB2tE8l4","rn_ZB2tE8l4","","True"
"","Scorpions","334","youtube","live","7.85","Scorpions - Wind Of Change (Live At Hellfest, 20.06.2015)","Scorpions - Wind Of Change (Live At Hellfest, 20.06.2015)","https://www.youtube.com/watch?v=8FMpIiDo-Ic","8FMpIiDo-Ic","","True"
"","BBC News and BBC News Africa","546","youtube","news","7.97","Nine women found dead. What's happening in South Africa? | BBC News","Is a serial killer on the loose in South Africa? | BBC News","https://www.youtube.com/watch?v=m2-jV69HXhg","m2-jV69HXhg","","True"
