availability,channel_discovered,duration,kind,search_query,tested_seconds,title,title_discovered,url,video_id,yt_dlp_error,yt_dlp_ok
,Boxoffice | ANIMATION | Full Movies,,kids,family friendly animation,7.74,,"Best Friends in The World | ANIME, KIDS | Full Movie in English",https://www.youtube.com/watch?v=U9-hTROh0q8,U9-hTROh0q8,ERROR: [youtube] U9-hTROh0q8: This video is not available,False
public,Awesome3D,66,kids,family friendly animation,7.96,"""Class Clown"" | Blender Animation","""Class Clown"" | Blender Animation",https://www.youtube.com/watch?v=yKXsm7Ko0-w,yKXsm7Ko0-w,,True
,Cocomelon - Nursery Rhymes,,kids,family friendly animation,7.96,,Are We There Yet? | CoComelon Nursery Rhymes & Kids Songs,https://www.youtube.com/watch?v=_Tr9Ncoo-yw,_Tr9Ncoo-yw,ERROR: [youtube] _Tr9Ncoo-yw: This video is not available,False
public,Animal Revolt Tv,640,kids,family friendly animation,9.52,"African Elephant Meets Lion, Tiger & Dinosaur | Family-Friendly Animation","African Elephant Meets Lion, Tiger & Dinosaur | Family-Friendly Animation",https://www.youtube.com/watch?v=ko614YMvJfM,ko614YMvJfM,,True
,Cocomelon - Nursery Rhymes,,kids,family friendly animation,9.54,,Five Little Speckled Frogs | CoComelon Nursery Rhymes & Kids Songs,https://www.youtube.com/watch?v=VQTVrxj4l6o,VQTVrxj4l6o,ERROR: [youtube] VQTVrxj4l6o: This video is not available,False
,Super Simple Songs - Kids Songs,,kids,family friendly animation,9.59,,Here Comes The Fire Truck | Kids Songs | Super Simple Songs,https://www.youtube.com/watch?v=RI6UT82cB_E,RI6UT82cB_E,ERROR: [youtube] RI6UT82cB_E: This video is not available,False
,Spookiz - Cartoons for Everyone,,kids,family friendly animation,9.65,,Spookiz: The Movie | Cartoons for Kids | Official Full Movie,https://www.youtube.com/watch?v=HfEVEGf1A8Q,HfEVEGf1A8Q,ERROR: [youtube] HfEVEGf1A8Q: This video is not available,False
,Peppa's Playgroup: Little Learners,,kids,family friendly animation,9.72,,Peppa Pigs Movie Mystery Door | Cartoons For Kids | Fun Animation | Peppa Pig Videos,https://www.youtube.com/watch?v=9N2MWsOv7wA,9N2MWsOv7wA,ERROR: [youtube] 9N2MWsOv7wA: This video is not available,False
,Genevieve's Playhouse - Learning Videos for Kids,,kids,family friendly animation,9.79,,Best Toy Learning Video for Toddlers and Kids Learn Colors with Surprise Crayons!,https://www.youtube.com/watch?v=GkQmkZNLCeM,GkQmkZNLCeM,ERROR: [youtube] GkQmkZNLCeM: This video is not available,False
,Disney Jr. ,,kids,family friendly animation,9.76,,Spidey's Best Moments! | Compilation | Marvel's Spidey and his Amazing Friends | @disneyjunior,https://www.youtube.com/watch?v=bqSgbSmrJdk,bqSgbSmrJdk,ERROR: [youtube] bqSgbSmrJdk: This video is not available,False
public,GULU Animation,151,kids,family friendly animation,9.91,Donut Adventure - Animated Short Film by GULU #doughnut #bread #animation #cartoon,Donut Adventure - Animated Short Film by GULU #doughnut #bread #animation #cartoon,https://www.youtube.com/watch?v=QBCapOmnvjM,QBCapOmnvjM,,True
,Twinkle Little Songs - Nursery Rhymes,,kids,family friendly animation,9.97,,ITSY BITSY SPIDER - Song for Children,https://www.youtube.com/watch?v=w_lCi8U49mY,w_lCi8U49mY,ERROR: [youtube] w_lCi8U49mY: This video is not available,False
public,LilDaeDreamer ,50,kids,family friendly animation,10.0,"""A Nice Walk"" (VERITY Animation)","""A Nice Walk"" (VERITY Animation)",https://www.youtube.com/watch?v=cq-EA1DyFEI,cq-EA1DyFEI,,True
,Hey Bear Sensory,,kids,family friendly animation,10.0,,Hey Bear Sensory - Smoothie Mix!- Fun Dance Video with music and animation !,https://www.youtube.com/watch?v=KPP4Cfupzhs,KPP4Cfupzhs,ERROR: [youtube] KPP4Cfupzhs: This video is not available,False
,Videogyan Kids Shows - TooToo Boy & Zool Babies ,,kids,family friendly animation,10.08,,TooToo Boy - Christmas Wishes Episode | Cartoon Animation For Children | Videogyan Kids Shows,https://www.youtube.com/watch?v=JJhSOTc6ZjU,JJhSOTc6ZjU,ERROR: [youtube] JJhSOTc6ZjU: This video is not available,False
,Little Bear - Official,,kids,family friendly animation,10.12,,The Little Bear Movie,https://www.youtube.com/watch?v=hKqri_XuIWw,hKqri_XuIWw,ERROR: [youtube] hKqri_XuIWw: This video is not available,False
public,JOEhuh02,28,kids,family friendly animation,10.23,Sprunki but too kiD frIEndly animation (Original) //tw gore and blood,Sprunki but too kiD frIEndly animation (Original) //tw gore and blood,https://www.youtube.com/watch?v=AXxD6W3TM-I,AXxD6W3TM-I,,True
public,Cinema Zone HD,4600,kids,family friendly animation,10.23,"The Heroes of Q-Town | Full Movie in English | Adventure Animation, HD","The Heroes of Q-Town | Full Movie in English | Adventure Animation, HD",https://www.youtube.com/watch?v=UAbIuQ2vS4E,UAbIuQ2vS4E,,True
public,CGMeetup,100,kids,family friendly animation,10.36,"CGI Animated Short Film: ""Don't Croak"" by Daun Kim | CGMeetup","CGI Animated Short Film: ""Don't Croak"" by Daun Kim | CGMeetup",https://www.youtube.com/watch?v=j8PDTJNaPc0,j8PDTJNaPc0,,True
,Super Simple Songs - Kids Songs,,kids,family friendly animation,10.4,,Butterfly Ladybug Bumblebee | Super Simple Songs,https://www.youtube.com/watch?v=EgiQ6GliTrI,EgiQ6GliTrI,ERROR: [youtube] EgiQ6GliTrI: This video is not available,False
,Mimi and Daddy - Kids Songs and Cartoons,,kids,family friendly animation,6.69,,"Baby, Be Nice to Families | Good Manners | Cartoon for Kids | Stories for Kids | MeowMi Family Show",https://www.youtube.com/watch?v=SIa57xL5rAU,SIa57xL5rAU,ERROR: [youtube] SIa57xL5rAU: This video is not available,False
,Super Simple Songs - Kids Songs,,kids,family friendly animation,6.7,,BINGO | Nursery Rhymes For Kids | Super Simple Songs,https://www.youtube.com/watch?v=9mmF8zOlh_g,9mmF8zOlh_g,ERROR: [youtube] 9mmF8zOlh_g: This video is not available,False
,Hooray Kids Songs & Nursery Rhymes,,kids,family friendly animation,7.11,,Wash your hands Children's Song | Wash us - Healthy habits Song | Hooray Kids Songs & Nursery Rhymes,https://www.youtube.com/watch?v=evXG5HuwIn0,evXG5HuwIn0,ERROR: [youtube] evXG5HuwIn0: This video is not available,False
,PJ Masks Official,,kids,family friendly animation,7.86,,PJ Masks Full Episodes | PJ Seeker | 1 Hour | Cartoons for Kids | Animation for Kids,https://www.youtube.com/watch?v=Bg9qw4GbGfk,Bg9qw4GbGfk,ERROR: [youtube] Bg9qw4GbGfk: This video is not available,False
,Rotten Tomatoes Family,,kids,family friendly animation,8.44,,Sing - Shake It Off Scene | Fandango Family,https://www.youtube.com/watch?v=y2joDOunHBo,y2joDOunHBo,ERROR: [youtube] y2joDOunHBo: This video is not available,False
,Premium Films,,kids,family friendly animation,8.63,,"A Charming Chameleon Learns to Live by His Own Colors! | CGI Animation ""The Social Chameleon""",https://www.youtube.com/watch?v=-gL8UIlueWI,-gL8UIlueWI,ERROR: [youtube] -gL8UIlueWI: This video is not available,False
,Videogyan Kids Shows - TooToo Boy & Zool Babies ,,kids,family friendly animation,9.05,,Missing Zoo Animals Episode | Cartoon Animation For Children | Videogyan Kids Shows | Zool Babies,https://www.youtube.com/watch?v=WnDnPuoX8hI,WnDnPuoX8hI,ERROR: [youtube] WnDnPuoX8hI: This video is not available,False
public,Boxoffice | FAMILY | Full Movies,4785,kids,family friendly animation,9.0,"Ella Bella Dingo | KIDS, ANIMATION | Full Movie in English","Ella Bella Dingo | KIDS, ANIMATION | Full Movie in English",https://www.youtube.com/watch?v=gTJ_59-9iHE,gTJ_59-9iHE,,True
,DisneyMusicVEVO,,kids,family friendly animation,10.0,,"Stephanie Beatriz, Olga Merediz, Encanto - Cast - The Family Madrigal (From ""Encanto"")",https://www.youtube.com/watch?v=Yp5nPGWWMh4,Yp5nPGWWMh4,ERROR: [youtube] Yp5nPGWWMh4: This video is not available,False
,Peppa Pig - Official Channel,,kids,family friendly animation,9.77,,Peppa's Family Camping Adventure 🏕️ | Peppa Pig Full Episodes,https://www.youtube.com/watch?v=DYSTZz_dNLs,DYSTZz_dNLs,ERROR: [youtube] DYSTZz_dNLs: This video is not available,False
,The Land Before Time,,kids,family friendly animation,9.93,,The Land Before Time | The Bright Circle Celebration | Cartoons For Kids | Kids Movies,https://www.youtube.com/watch?v=vX2g-VnhbU8,vX2g-VnhbU8,ERROR: [youtube] vX2g-VnhbU8: This video is not available,False
,Disney Jr. ,,kids,family friendly animation,9.94,,Top 5 Marvel’s Spidey and his Amazing Friends Moments 🕸 | Compilation | @disneyjr,https://www.youtube.com/watch?v=wlZhfMo98zs,wlZhfMo98zs,ERROR: [youtube] wlZhfMo98zs: This video is not available,False
public,Boxoffice | FAMILY | Full Movies,5050,kids,family friendly animation,9.79,"Rise of the Little Insect | FAMILY, ANIMATION | Full Movie in English💎","Rise of the Little Insect | FAMILY, ANIMATION | Full Movie in English💎",https://www.youtube.com/watch?v=AYS8-NmHcCI,AYS8-NmHcCI,,True
public,Mad Artist Publishing CGI & Films,245,kids,family friendly animation,9.58,Cute CGI 3D Animated Short Film ** DUST BUDDIES **- Funny Animation by Ringling College,Cute CGI 3D Animated Short Film ** DUST BUDDIES **- Funny Animation by Ringling College,https://www.youtube.com/watch?v=9OhUJyF1bYo,9OhUJyF1bYo,,True
,Cocomelon - Nursery Rhymes,,kids,family friendly animation,9.46,,Finger Family | CoComelon Nursery Rhymes & Kids Songs,https://www.youtube.com/watch?v=kCka94jeGTk,kCka94jeGTk,ERROR: [youtube] kCka94jeGTk: This video is not available,False
public,BrodyAnimates,538,kids,family friendly animation,9.81,Siblings (ft. Haminations & Infamous Swoosh),Siblings (ft. Haminations & Infamous Swoosh),https://www.youtube.com/watch?v=O0hyjRF6quc,O0hyjRF6quc,,True
,Peter Rabbit,,kids,family friendly animation,10.29,,Peter Rabbit - Camping by the Lake | Cartoons for Kids,https://www.youtube.com/watch?v=b2sjCyAsFbM,b2sjCyAsFbM,ERROR: [youtube] b2sjCyAsFbM: This video is not available,False
public,Canine Companions®,452,kids,family friendly animation,10.4,Andy: A Dog's Tale | Full Film | Canine Companions #animation #puppy #servicedog,Andy: A Dog's Tale | Full Film | Canine Companions #animation #puppy #servicedog,https://www.youtube.com/watch?v=jXHOHOYkbYc,jXHOHOYkbYc,,True
public,Boxoffice | FAMILY | Full Movies,5589,kids,family friendly animation,10.39,Super Dumpling | Animation | Full Movie in English | Family,Super Dumpling | Animation | Full Movie in English | Family,https://www.youtube.com/watch?v=NsD3_njh7D0,NsD3_njh7D0,,True
public,Mr. Friend,154,kids,family friendly animation,10.67,The Moon wakes up (cosmic horror/astrophobia animation),The Moon wakes up (cosmic horror/astrophobia animation),https://www.youtube.com/watch?v=ZkIQTX71GnU,ZkIQTX71GnU,,True
,Disney Jr. ,,kids,family friendly animation,8.22,,Meet Marvel's Spidey and his Amazing Friends! | @disneyjunior,https://www.youtube.com/watch?v=Vk36-GV81Yg,Vk36-GV81Yg,ERROR: [youtube] Vk36-GV81Yg: This video is not available,False
public,Sony Pictures Animation,408,kids,family friendly animation,8.32,Hair Love | Oscar®-Winning Short Film (Full) | Sony Pictures Animation,Hair Love | Oscar®-Winning Short Film (Full) | Sony Pictures Animation,https://www.youtube.com/watch?v=kNw8V_Fkw28,kNw8V_Fkw28,,True
public,Hornstromp 3D,1247,kids,family friendly animation,8.84,POOR TRALALERO TRALALA: SAD STORY! Italian Brainrot Animation,POOR TRALALERO TRALALA: SAD STORY! Italian Brainrot Animation,https://www.youtube.com/watch?v=BJJSwpjryfQ,BJJSwpjryfQ,,True
,Disney Kids,,kids,family friendly animation,6.91,,Mulan | I'll Make a Man Out of You | @disneykids,https://www.youtube.com/watch?v=vGfJeW_CcFY,vGfJeW_CcFY,ERROR: [youtube] vGfJeW_CcFY: This video is not available,False
,DisneyMusicVEVO,,kids,family friendly animation,7.2,,"That Time of Year (From ""Olaf's Frozen Adventure"")",https://www.youtube.com/watch?v=nLGBEETtEPc,nLGBEETtEPc,ERROR: [youtube] nLGBEETtEPc: This video is not available,False
,Ryan's World,,kids,toy review kids,7.1,,GIANT Lightning McQueen Egg Surprise with 100+ Disney Cars Toys,https://www.youtube.com/watch?v=Tldlt2RhrDw,Tldlt2RhrDw,ERROR: [youtube] Tldlt2RhrDw: This video is not available,False
,Kidibli (Kinder Spielzeug Kanal),,kids,toy review kids,7.2,,Various Ride On Toy Vehicles for Kids,https://www.youtube.com/watch?v=dYPOV9LErns,dYPOV9LErns,ERROR: [youtube] dYPOV9LErns: This video is not available,False
public,ToonAnimations,141,kids,family friendly animation,9.33,ROBLOX ANIMAL HOSPITAL🧪 RETOLD | ANIMATION,ROBLOX ANIMAL HOSPITAL🧪 RETOLD | ANIMATION,https://www.youtube.com/watch?v=_NN94nsBQh4,_NN94nsBQh4,,True
,AGN KIDS ENGLISH,,kids,family friendly animation,9.12,,"Tom & Jerry’s Crazy Vehicle Adventure 🚍🚒🚓 | Funny Bus, Cars & Toy Race | 3D Cartoon",https://www.youtube.com/watch?v=QCSuIxx2QNs,QCSuIxx2QNs,ERROR: [youtube] QCSuIxx2QNs: This video is not available,False
public,My Cute Toys,3904,kids,toy review kids,8.0,"Satisfying with Unboxing Disney Minnie Mouse and Fifi Bathtub Playset, Toys Collection Review | ASMR","Satisfying with Unboxing Disney Minnie Mouse and Fifi Bathtub Playset, Toys Collection Review | ASMR",https://www.youtube.com/watch?v=VUv8glWbb0g,VUv8glWbb0g,,True
,Genevieve's Playhouse - Learning Videos for Kids,,kids,toy review kids,7.28,,Best Toy Learning Video for Toddlers and Kids - Learn Colors and Counting in the Garden!,https://www.youtube.com/watch?v=_UNe6tz28OI,_UNe6tz28OI,ERROR: [youtube] _UNe6tz28OI: This video is not available,False
,Cinema Zone HD,,kids,family friendly animation,9.11,,Lost in the City: A Father Bear’s Fight for Family | Full Movie | Animation HD,https://www.youtube.com/watch?v=FFJyzxxX9qY,FFJyzxxX9qY,ERROR: [youtube] FFJyzxxX9qY: This video is not available,False
,Genevieve's Playhouse - Learning Videos for Kids,,kids,toy review kids,8.98,,Hour Long Paw Patrol Toy Learning Video for Kids!,https://www.youtube.com/watch?v=S8I58u3OsXw,S8I58u3OsXw,ERROR: [youtube] S8I58u3OsXw: This video is not available,False
,ST Hacks,,kids,toy review kids,8.55,,Doctor Kit Unboxing | Kids Medical Playset Full Review 🩺🔥,https://www.youtube.com/watch?v=f24Xy60sj04,f24Xy60sj04,ERROR: [youtube] f24Xy60sj04: This video is not available,False
,Genevieve's Playhouse - Learning Videos for Kids,,kids,toy review kids,9.38,,Best ♥PEPPA PIG♥ Toy Learning Videos for Kids and Toddlers!,https://www.youtube.com/watch?v=3r6jW-8QuBM,3r6jW-8QuBM,ERROR: [youtube] 3r6jW-8QuBM: This video is not available,False
public,Korya BeeBee,94,kids,family friendly animation,9.94,HE'S MINE (doki doki family friendly literature club) //animation,HE'S MINE (doki doki family friendly literature club) //animation,https://www.youtube.com/watch?v=t9VWa51DGjA,t9VWa51DGjA,,True
public,ToyToy Unboxing,3707,kids,toy review kids,9.52,"61 Minutes Satisfying with Unboxing Cute Pink Ice Cream, Hello Kitty Smart Refrigerator, Review Toys","61 Minutes Satisfying with Unboxing Cute Pink Ice Cream, Hello Kitty Smart Refrigerator, Review Toys",https://www.youtube.com/watch?v=mf9zGeZTy_U,mf9zGeZTy_U,,True
public,ぺんだこあすちゃん,207,kids,family friendly animation,9.81,Kid friendly,Kid friendly,https://www.youtube.com/watch?v=ut5W0Scfw4I,ut5W0Scfw4I,,True
,Ryan's World,,kids,toy review kids,8.68,,Ryan Pretend Play with McDonalds Toys and cook toys food!,https://www.youtube.com/watch?v=xzaNqjc4fkE,xzaNqjc4fkE,ERROR: [youtube] xzaNqjc4fkE: This video is not available,False
,Genevieve's Playhouse - Learning Videos for Kids,,kids,toy review kids,9.91,,Best Toy Food Videos for Kids - Let's Have Fun in the Kitchen!,https://www.youtube.com/watch?v=aq2TEynHNDU,aq2TEynHNDU,ERROR: [youtube] aq2TEynHNDU: This video is not available,False
public,Tina Unboxing Toys,3642,kids,toy review kids,6.89,"60 Minutes Ultimate Cooking Toys Playset, Satisfying Unboxing Flamingo Kitchen Set ASMR |Tina Review","60 Minutes Ultimate Cooking Toys Playset, Satisfying Unboxing Flamingo Kitchen Set ASMR |Tina Review",https://www.youtube.com/watch?v=Judk34NMBM0,Judk34NMBM0,,True
public,King Zippy,416,kids,toy review kids,8.77,Billys Toy review CocoMelon lunchbox playset,Billys Toy review CocoMelon lunchbox playset,https://www.youtube.com/watch?v=DICdurbTlyk,DICdurbTlyk,,True
,Ryan's World,,kids,toy review kids,8.27,,Emma & Kate Review EVERY New Viral Squishy!,https://www.youtube.com/watch?v=NvHXmb9G9Zg,NvHXmb9G9Zg,ERROR: [youtube] NvHXmb9G9Zg: This video is not available,False
,ST Hacks,,kids,toy review kids,8.36,,Doctor Kit Unboxing | Kids Medical Playset Full Review 🩺🔥,https://www.youtube.com/watch?v=NUPOWe0tH3E,NUPOWe0tH3E,ERROR: [youtube] NUPOWe0tH3E: This video is not available,False
,AWESMR pop,,kids,toy review kids,6.46,,Feeding Mr. Play Doh Head Play Foam Ice Cream!,https://www.youtube.com/watch?v=vh9No2Mum5c,vh9No2Mum5c,ERROR: [youtube] vh9No2Mum5c: This video is not available,False
,Kidibli (Kinder Spielzeug Kanal),,kids,toy review kids,7.89,,Truck filled with Toy Vehicles for Kids,https://www.youtube.com/watch?v=VQXTa0ZECps,VQXTa0ZECps,ERROR: [youtube] VQXTa0ZECps: This video is not available,False
public,Turbo Track Toy,5287,kids,toy review kids,8.5,Hot Wheels Collection Unboxing Toy Review ASMR | Hot Wheels City Ultimate T-Rex Transporter Playset,Hot Wheels Collection Unboxing Toy Review ASMR | Hot Wheels City Ultimate T-Rex Transporter Playset,https://www.youtube.com/watch?v=NZqj5H19HFU,NZqj5H19HFU,,True
public,Addie Bowley,642,kids,toy review kids,7.95,I Tested 100 Years of Kid's Toys,I Tested 100 Years of Kid's Toys,https://www.youtube.com/watch?v=2tLWwV5hF3Y,2tLWwV5hF3Y,,True
,Genevieve's Playhouse - Learning Videos for Kids,,kids,toy review kids,8.27,,Toy Learning Video for Kids with Paw Patrol Ultimate Rescue Vehicles!,https://www.youtube.com/watch?v=dQXTNzOA5gU,dQXTNzOA5gU,ERROR: [youtube] dQXTNzOA5gU: This video is not available,False
,Ryan's World,,kids,toy review kids,6.71,,PUCKER POWDER Custom Candy Kit! Sweet and Sour Kids Candy Review! Ryan ToysReview,https://www.youtube.com/watch?v=mQfplOwQwIs,mQfplOwQwIs,ERROR: [youtube] mQfplOwQwIs: This video is not available,False
public,LOVE MY TOYS ,555,kids,toy review kids,8.68,10 Minutes Satisfying with Unboxing Cook & Kitchen Sink Pool Toy Set Review Toys | ASMR,10 Minutes Satisfying with Unboxing Cook & Kitchen Sink Pool Toy Set Review Toys | ASMR ,https://www.youtube.com/watch?v=at8m7t9_NI0,at8m7t9_NI0,,True
,Genevieve's Playhouse - Learning Videos for Kids,,kids,toy review kids,8.63,,Toddler Learning Video for Kids and Babies - Pororo School Bus and Treehouse!,https://www.youtube.com/watch?v=VNuNTIA8xp4,VNuNTIA8xp4,ERROR: [youtube] VNuNTIA8xp4: This video is not available,False
public,Love ASMR,5621,kids,toy review kids,8.92,Marvel Spiderman Toys Unboxing Review | Marvel Spidey Dinosaur T-Rex | Spider Man Mask,Marvel Spiderman Toys Unboxing Review | Marvel Spidey Dinosaur T-Rex | Spider Man Mask,https://www.youtube.com/watch?v=yIHct0ihmP0,yIHct0ihmP0,,True
public,Mini toys,4480,kids,toy review kids,7.53,Satisfying with Unboxing Disney Little Mermaid Toys Collection | Review Toys | ASMR,Satisfying with Unboxing Disney Little Mermaid Toys Collection | Review Toys | ASMR,https://www.youtube.com/watch?v=_Knoz4ASnMc,_Knoz4ASnMc,,True
,Hi Zuza,,kids,toy review kids,8.51,,Paw Patrol Sky  Helicopter Ride On Toy Unboxing And Review With Zuza,https://www.youtube.com/watch?v=cbBjwvndqUs,cbBjwvndqUs,ERROR: [youtube] cbBjwvndqUs: This video is not available,False
,ST Hacks,,kids,toy review kids,8.35,,Doctor Kit Unboxing | Kids Medical Playset Full Review 🩺🔥,https://www.youtube.com/watch?v=WnA8eNUe3AM,WnA8eNUe3AM,ERROR: [youtube] WnA8eNUe3AM: This video is not available,False
,TurboToyTime,,kids,toy review kids,8.21,,Father & Son TOY AISLE ADVENTURE TIME!,https://www.youtube.com/watch?v=QKVdpvz4Udg,QKVdpvz4Udg,ERROR: [youtube] QKVdpvz4Udg: This video is not available,False
,Ryan's World,,kids,toy review kids,8.36,,Ryan Pretend Play with Giant Gobsmax Toys for kids!!!,https://www.youtube.com/watch?v=KGAHfgPQf2g,KGAHfgPQf2g,ERROR: [youtube] KGAHfgPQf2g: This video is not available,False
public,예리몽 Yerimong,797,kids,toy review kids,8.6,Cooking toys 🍳 Cute Lunch Box Playset ASMR | Review toys,Cooking toys 🍳 Cute Lunch Box Playset ASMR | Review toys,https://www.youtube.com/watch?v=r0qhNxz6mIs,r0qhNxz6mIs,,True
public,Tiny Toys Car,5526,kids,toy review kids,8.56,Disney Pixar Cars Unboxing Review | Disney Pixar Cars Go Toy Truck Race Track | Lightning McQueen,Disney Pixar Cars Unboxing Review | Disney Pixar Cars Go Toy Truck Race Track | Lightning McQueen,https://www.youtube.com/watch?v=WntWpjjE6DU,WntWpjjE6DU,,True
,Kinder Playtime,,kids,toy review kids,7.84,,HUGE Mattel Toys Surprise Easter Present for Girls Polly Pocket | Kinder Playtime It's a Toy Party!,https://www.youtube.com/watch?v=gZ-6XJerI0E,gZ-6XJerI0E,ERROR: [youtube] gZ-6XJerI0E: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,False
